,Airline,Destination,Total_Stops,Price,journey_day,journey_month,Dep_Time_hour,Dep_Time_minute,Arrival_Time_hour,Arrival_Time_minute,Duration_hours,Duration_mins,,Airline
85,10,2,1,13712,3,6,14,5,11,25,21,20,,Jet Airways
86,3,4,1,5636,24,6,2,0,7,25,5,25,,IndiGo
87,10,4,2,13014,6,6,9,40,4,25,18,45,,Jet Airways
88,10,3,1,7064,4,1,8,25,20,45,12,20,,Jet Airways
89,10,3,1,10703,24,5,20,25,14,25,18,0,,Jet Airways
90,8,4,1,9646,27,5,13,15,22,30,9,15,,Multiple carriers
91,8,4,1,17057,3,6,2,15,13,20,11,5,,Multiple carriers
92,10,2,1,13817,3,12,16,55,10,25,17,30,,Jet Airways
93,7,4,2,13748,3,6,5,55,19,15,13,20,,Air India
94,7,3,0,4880,21,4,20,45,23,20,2,35,,Air India
95,3,0,0,3540,21,6,5,15,7,40,2,25,,IndiGo
96,1,2,0,3257,15,5,5,55,8,35,2,40,,SpiceJet
97,10,2,0,6478,6,3,19,50,22,50,3,0,,Jet Airways
98,10,1,0,8040,18,6,7,5,8,30,1,25,,Jet Airways
99,10,4,2,14300,6,12,20,0,12,35,16,35,,Jet Airways
100,10,3,1,14781,15,5,8,25,20,45,12,20,,Jet Airways
101,10,3,1,14939,6,9,20,0,8,15,12,15,,Jet Airways
102,10,4,1,10262,24,6,20,55,4,25,7,30,,Jet Airways
103,7,3,1,6528,5,12,14,35,14,35,24,0,,Air India
104,7,2,0,6121,5,1,6,10,8,55,2,45,,Air India
105,10,4,2,13029,18,5,19,30,4,25,8,55,,Jet Airways
106,8,4,1,11421,27,3,11,40,18,50,7,10,,Multiple carriers
107,8,4,1,7574,27,3,4,45,19,15,14,30,,Multiple carriers
108,7,4,2,11596,5,9,12,55,19,15,30,20,,Air India
109,10,4,2,15129,24,5,23,5,19,0,19,55,,Jet Airways
110,10,2,1,13555,18,3,14,5,5,5,15,0,,Jet Airways
111,3,2,0,5780,4,12,18,55,21,50,2,55,,IndiGo
112,5,3,1,9397,5,12,20,20,9,5,12,45,,Vistara
113,10,4,1,17024,3,6,18,15,4,25,10,10,,Jet Airways
114,4,4,1,5281,27,6,7,0,12,55,5,55,,GoAir
115,8,4,1,10348,18,5,7,5,22,30,15,25,,Multiple carriers
116,7,4,1,12677,3,6,17,20,9,25,16,5,,Air India
117,8,4,1,15147,3,3,15,25,1,35,10,10,,Multiple carriers
118,5,2,0,4668,6,12,7,0,9,40,2,40,,Vistara
119,10,4,1,15554,5,9,7,5,19,0,11,55,,Jet Airways
120,1,2,0,3971,4,9,5,55,8,35,2,40,,SpiceJet
121,7,1,0,3100,5,3,15,0,16,25,1,25,,Air India
122,10,3,1,9663,5,6,20,0,10,5,14,5,,Jet Airways
123,7,4,1,27430,3,1,23,0,19,15,20,15,,Air India
124,3,0,0,3540,5,12,5,15,7,40,2,25,,IndiGo
125,7,3,2,10676,21,5,12,0,11,10,23,10,,Air India
126,10,3,1,13044,6,12,14,5,8,15,18,10,,Jet Airways
127,10,3,1,14388,5,6,20,0,12,0,16,0,,Jet Airways
128,3,2,0,3943,24,6,4,0,6,50,2,50,,IndiGo
129,3,0,0,3597,6,3,14,45,17,5,2,20,,IndiGo
130,7,2,1,5932,21,3,11,50,19,50,8,0,,Air India
131,10,4,1,10262,15,6,11,30,4,25,16,55,,Jet Airways
132,5,4,0,6216,5,12,14,40,17,50,3,10,,Vistara
133,3,3,0,4804,15,6,20,25,23,10,2,45,,IndiGo
134,8,4,1,14067,21,5,11,30,1,30,14,0,,Multiple carriers
135,10,4,2,15129,18,5,19,10,19,0,23,50,,Jet Airways
136,10,4,2,13376,6,6,6,45,4,25,21,40,,Jet Airways
137,7,4,2,10441,27,6,22,0,19,15,21,15,,Air India
138,10,2,0,4030,24,5,6,0,8,45,2,45,,Jet Airways
139,10,4,1,17024,3,3,8,0,18,50,10,50,,Jet Airways
140,8,4,1,13017,4,9,17,30,1,30,8,0,,Multiple carriers
141,4,3,1,6686,6,6,23,30,7,45,8,15,,GoAir
142,3,4,1,5636,15,6,2,0,7,25,5,25,,IndiGo
143,3,4,1,6442,6,9,7,35,16,10,8,35,,IndiGo
144,8,4,1,9486,21,5,13,5,0,55,11,50,,Multiple carriers
145,10,3,1,10844,21,5,20,0,23,35,27,35,,Jet Airways
146,10,4,2,15318,6,3,20,0,4,25,8,25,,Jet Airways
147,7,4,1,5117,4,3,12,30,9,25,20,55,,Air India
148,3,4,1,6147,24,6,15,10,20,0,4,50,,IndiGo
149,8,4,1,7005,6,9,12,50,21,0,8,10,,Multiple carriers
150,1,3,0,3873,4,3,22,20,0,40,2,20,,SpiceJet
151,10,4,2,9270,21,3,18,25,18,50,24,25,,Jet Airways
152,4,2,0,3898,27,6,11,40,14,30,2,50,,GoAir
153,10,3,1,14781,5,12,8,25,20,45,12,20,,Jet Airways
154,10,3,1,8586,24,5,20,0,8,15,12,15,,Jet Airways
155,7,3,2,10697,5,9,8,20,7,55,23,35,,Air India
156,10,4,2,14300,27,6,20,0,12,35,16,35,,Jet Airways
157,3,2,0,8855,3,3,18,55,21,45,2,50,,IndiGo
158,10,3,1,10844,5,12,16,30,18,15,25,45,,Jet Airways
159,10,4,1,17024,3,6,2,15,4,25,26,10,,Jet Airways
160,10,3,1,9314,5,1,9,35,14,25,28,50,,Jet Airways
161,3,2,0,4777,24,3,0,40,3,25,2,45,,IndiGo
162,7,3,1,7662,6,9,12,0,13,15,25,15,,Air India
163,3,4,1,6442,5,9,6,50,16,10,9,20,,IndiGo
164,1,4,1,5264,6,12,8,45,13,15,4,30,,SpiceJet
165,10,4,1,12898,27,5,13,0,4,25,15,25,,Jet Airways
166,7,1,0,6092,3,3,13,55,15,25,1,30,,Air India
167,1,2,0,3311,21,5,5,55,8,35,2,40,,SpiceJet
168,10,4,1,6540,27,3,19,15,4,25,9,10,,Jet Airways
169,3,2,0,3419,27,5,1,30,4,15,2,45,,IndiGo
170,10,4,1,5177,4,3,14,0,12,35,22,35,,Jet Airways
171,7,4,0,8246,18,4,18,5,21,10,3,5,,Air India
172,10,3,1,14676,6,9,9,35,21,5,11,30,,Jet Airways
173,8,4,1,13587,27,6,11,30,21,0,9,30,,Multiple carriers
174,10,3,1,9663,5,6,21,10,9,20,12,10,,Jet Airways
175,10,3,1,13044,6,12,16,30,10,5,17,35,,Jet Airways
176,3,4,1,5073,4,3,20,25,1,30,5,5,,IndiGo
177,5,3,1,9345,21,5,17,0,18,50,25,50,,Vistara
178,10,3,1,9663,5,6,14,5,10,5,20,0,,Jet Airways
179,8,4,1,14277,21,5,8,0,21,0,13,0,,Multiple carriers
180,10,4,1,10262,6,1,10,0,4,25,18,25,,Jet Airways
181,10,1,0,5678,27,3,19,35,21,5,1,30,,Jet Airways
182,8,4,1,13727,15,5,16,0,1,30,9,30,,Multiple carriers
183,10,3,1,9663,5,6,20,0,12,0,16,0,,Jet Airways
184,3,0,0,3858,5,12,14,45,17,5,2,20,,IndiGo
185,1,4,1,4812,24,6,8,45,13,15,4,30,,SpiceJet
186,3,4,1,5775,27,6,21,50,3,35,5,45,,IndiGo
187,10,3,1,10539,6,6,9,35,9,45,24,10,,Jet Airways
188,3,3,0,4804,6,3,15,30,18,5,2,35,,IndiGo
189,2,2,0,3383,6,12,11,10,13,55,2,45,,Air Asia
190,3,2,1,8738,3,3,12,10,17,5,4,55,,IndiGo
191,7,4,1,7165,27,3,5,15,6,50,25,35,,Air India
192,3,4,1,6412,24,6,16,10,22,30,6,20,,IndiGo
193,10,2,0,8016,27,6,18,55,22,0,3,5,,Jet Airways
194,10,2,1,11087,3,12,20,35,15,15,18,40,,Jet Airways
195,1,0,0,3543,27,6,9,45,12,0,2,15,,SpiceJet
196,10,3,1,12471,6,12,16,30,4,40,12,10,,Jet Airways
197,10,4,1,10262,24,6,9,0,4,25,19,25,,Jet Airways
198,7,2,0,4441,18,3,13,20,16,10,2,50,,Air India
199,8,4,1,12537,27,3,7,5,15,30,8,25,,Multiple carriers
200,4,3,1,10091,24,3,22,25,7,40,9,15,,GoAir
201,7,2,0,6961,6,3,21,5,23,55,2,50,,Air India
202,3,4,0,5013,24,4,5,35,8,50,3,15,,IndiGo
203,7,4,0,6934,18,5,5,10,8,0,2,50,,Air India
204,8,4,1,10877,6,3,6,40,19,0,12,20,,Multiple carriers
205,10,2,0,7229,18,4,15,15,18,10,2,55,,Jet Airways
206,3,4,1,7048,27,3,16,0,1,35,9,35,,IndiGo
207,5,2,0,4878,27,6,17,0,19,35,2,35,,Vistara
208,10,3,1,10844,21,5,14,5,23,35,9,30,,Jet Airways
209,10,4,2,15129,18,5,23,5,4,25,29,20,,Jet Airways
210,3,2,0,3943,5,12,0,30,3,25,2,55,,IndiGo
211,1,4,1,5583,6,6,6,5,11,20,5,15,,SpiceJet
212,8,4,1,9646,6,6,7,5,16,10,9,5,,Multiple carriers
213,8,4,1,7677,6,3,8,30,19,15,10,45,,Multiple carriers
214,3,4,1,6842,6,1,5,10,10,5,4,55,,IndiGo
215,10,1,0,4995,24,6,8,45,10,15,1,30,,Jet Airways
216,5,3,1,9555,6,9,7,10,18,50,11,40,,Vistara
217,3,2,0,4077,6,1,1,30,4,15,2,45,,IndiGo
218,10,2,0,7229,5,12,15,15,18,10,2,55,,Jet Airways
219,8,4,1,12192,6,9,9,0,19,0,10,0,,Multiple carriers
220,7,2,0,5911,4,12,10,0,12,45,2,45,,Air India
221,7,4,1,8372,6,12,9,0,19,15,10,15,,Air India
222,10,1,0,4995,18,3,7,10,8,35,1,25,,Jet Airways
223,8,4,1,14323,5,9,10,0,19,15,9,15,,Multiple carriers
224,10,4,2,13014,6,9,5,30,4,25,22,55,,Jet Airways
225,7,4,2,13591,6,6,14,25,19,15,28,50,,Air India
226,10,4,2,18799,3,3,5,25,18,50,37,25,,Jet Airways
227,3,2,0,3943,27,4,23,30,2,20,2,50,,IndiGo
228,1,1,0,1965,21,5,5,45,7,15,1,30,,SpiceJet
229,10,1,0,4995,27,5,10,20,11,50,1,30,,Jet Airways
230,7,3,1,14641,24,3,16,50,18,30,25,40,,Air India
231,7,3,0,4460,4,12,20,45,23,20,2,35,,Air India
232,7,4,1,10191,18,5,13,0,19,15,6,15,,Air India
233,10,4,1,13843,3,9,2,15,19,45,17,30,,Jet Airways
234,3,4,1,6349,5,1,21,50,3,35,5,45,,IndiGo
235,2,3,0,4409,5,1,10,20,12,55,2,35,,Air Asia
236,10,4,1,17024,3,6,18,15,19,45,25,30,,Jet Airways
237,8,4,1,13727,18,5,7,5,21,0,13,55,,Multiple carriers
238,3,2,0,8855,15,3,18,25,21,20,2,55,,IndiGo
239,8,4,1,12524,24,6,8,45,19,0,10,15,,Multiple carriers
240,10,2,1,13555,18,3,11,40,20,20,8,40,,Jet Airways
241,10,3,1,10844,6,6,6,30,12,0,5,30,,Jet Airways
242,8,4,1,13587,6,9,9,0,21,0,12,0,,Multiple carriers
243,1,0,0,3543,6,12,9,45,12,0,2,15,,SpiceJet
244,5,0,0,4842,18,3,7,5,9,20,2,15,,Vistara
245,3,2,0,3943,24,4,23,30,2,20,2,50,,IndiGo
246,10,4,1,10577,6,9,19,15,4,25,9,10,,Jet Airways
247,3,4,1,6979,15,5,10,35,21,0,10,25,,IndiGo
248,5,0,0,11982,27,6,17,45,20,5,2,20,,Vistara
249,1,4,1,5264,6,6,8,45,13,15,4,30,,SpiceJet
250,5,4,0,8001,3,3,6,0,9,10,3,10,,Vistara
251,7,4,2,10651,6,1,19,45,19,15,23,30,,Air India
252,10,3,1,10844,24,5,16,30,19,50,27,20,,Jet Airways
253,8,4,1,6601,27,3,9,45,22,20,12,35,,Multiple carriers
254,7,4,1,6587,21,3,19,0,19,15,24,15,,Air India
255,1,1,0,3173,21,3,13,10,14,30,1,20,,SpiceJet
256,7,2,0,5228,5,9,10,0,12,45,2,45,,Air India
257,10,2,0,5769,21,6,7,10,10,10,3,0,,Jet Airways
258,10,4,1,14714,6,6,8,0,19,0,11,0,,Jet Airways
259,10,4,2,13014,6,3,5,30,19,0,13,30,,Jet Airways
260,3,2,0,3359,6,3,22,10,1,0,2,50,,IndiGo
261,4,2,0,6722,3,3,20,55,23,50,2,55,,GoAir
262,3,3,0,4462,18,3,9,35,12,20,2,45,,IndiGo
263,3,4,1,6171,3,9,4,55,16,10,11,15,,IndiGo
264,7,3,2,12303,21,5,5,50,20,25,14,35,,Air India
265,8,4,1,7695,21,3,11,40,1,35,13,55,,Multiple carriers
266,3,4,1,5684,24,6,11,25,1,30,14,5,,IndiGo
267,7,3,1,8366,6,12,16,50,7,55,15,5,,Air India
268,7,0,0,19630,3,1,11,40,13,55,2,15,,Air India
269,10,2,1,13502,3,6,14,5,5,5,15,0,,Jet Airways
270,10,3,1,14781,5,1,21,10,10,5,12,55,,Jet Airways
271,8,4,1,6513,6,12,7,10,16,10,9,0,,Multiple carriers
272,7,4,1,9929,6,1,7,0,19,15,12,15,,Air India
273,8,4,2,18275,6,6,17,50,1,30,7,40,,Multiple carriers
274,7,4,1,4487,4,9,6,5,9,25,27,20,,Air India
275,3,1,0,2754,15,3,21,20,22,45,1,25,,IndiGo
276,7,1,0,2575,27,3,6,20,7,40,1,20,,Air India
277,1,3,1,8224,6,12,15,55,21,25,5,30,,SpiceJet
278,7,4,1,8991,3,9,20,30,8,15,11,45,,Air India
279,3,4,0,5000,24,6,5,35,8,50,3,15,,IndiGo
280,10,3,1,8529,6,12,18,55,19,50,24,55,,Jet Airways
281,7,4,1,14042,3,3,6,5,9,25,27,20,,Air India
282,10,2,0,4030,24,5,11,10,14,5,2,55,,Jet Airways
283,10,3,1,10844,6,6,18,55,12,0,17,5,,Jet Airways
284,3,3,0,4804,5,6,21,25,0,5,2,40,,IndiGo
285,8,4,1,7308,27,5,17,30,1,30,8,0,,Multiple carriers
286,3,2,0,4823,5,12,16,55,19,55,3,0,,IndiGo
287,10,4,1,10262,24,6,9,0,12,35,27,35,,Jet Airways
288,10,4,1,12898,27,5,20,55,4,25,7,30,,Jet Airways
289,7,2,2,12778,3,12,17,25,16,20,22,55,,Air India
290,3,4,1,14871,3,3,4,45,13,20,8,35,,IndiGo
291,7,4,2,8708,21,3,13,20,19,15,29,55,,Air India
292,10,3,1,10844,6,6,20,0,18,15,22,15,,Jet Airways
293,1,1,0,4129,3,6,5,45,7,5,1,20,,SpiceJet
294,3,3,0,4804,18,5,21,25,0,5,2,40,,IndiGo
295,10,2,0,7229,5,6,8,20,11,20,3,0,,Jet Airways
296,10,2,1,7832,21,3,7,0,19,10,12,10,,Jet Airways
297,1,0,0,3859,18,3,9,30,12,5,2,35,,SpiceJet
298,8,4,1,9001,6,6,7,30,19,15,11,45,,Multiple carriers
299,5,2,0,4878,5,9,17,0,19,35,2,35,,Vistara
300,3,1,0,2754,5,3,2,35,4,5,1,30,,IndiGo
301,5,2,0,4668,27,6,7,0,9,40,2,40,,Vistara
302,2,3,0,5216,5,12,10,20,12,55,2,35,,Air Asia
303,10,4,2,10368,6,6,5,30,4,25,22,55,,Jet Airways
304,3,4,2,8146,3,9,6,40,21,20,14,40,,IndiGo
305,10,4,1,12242,27,3,13,0,4,25,15,25,,Jet Airways
306,10,2,1,9134,15,3,8,0,15,15,7,15,,Jet Airways
307,7,4,2,10939,6,6,13,15,9,25,20,10,,Air India
308,7,4,2,11753,6,6,10,55,7,40,20,45,,Air India
309,1,3,0,4174,24,4,17,10,19,40,2,30,,SpiceJet
310,10,3,1,10844,21,5,20,0,19,50,23,50,,Jet Airways
311,10,4,1,14714,6,3,16,0,19,0,27,0,,Jet Airways
312,10,3,1,9899,6,12,6,30,12,0,5,30,,Jet Airways
313,3,4,1,14871,3,3,9,10,21,0,11,50,,IndiGo
314,3,0,0,7295,3,6,13,20,15,35,2,15,,IndiGo
315,7,4,2,13465,6,6,18,45,19,15,24,30,,Air India
316,1,0,0,3543,21,5,17,45,20,5,2,20,,SpiceJet
317,8,4,1,7198,27,6,19,0,1,30,6,30,,Multiple carriers
318,10,4,1,10262,6,1,8,0,4,25,20,25,,Jet Airways
319,3,3,0,4148,15,3,15,20,17,55,2,35,,IndiGo
320,10,2,0,8016,27,6,15,15,18,10,2,55,,Jet Airways
321,10,4,1,10262,6,9,22,50,4,25,5,35,,Jet Airways
322,1,3,0,3841,15,6,14,55,17,25,2,30,,SpiceJet
323,10,2,1,11507,3,12,9,45,0,30,14,45,,Jet Airways
324,10,3,1,14781,5,1,8,25,20,45,12,20,,Jet Airways
325,10,4,1,16079,27,5,17,30,19,0,25,30,,Jet Airways
326,10,4,1,12898,27,5,22,50,4,25,5,35,,Jet Airways
327,8,4,1,15353,3,6,7,30,19,15,11,45,,Multiple carriers
328,3,2,0,7303,24,3,18,25,21,20,2,55,,IndiGo
329,1,3,1,6197,24,3,15,5,20,45,5,40,,SpiceJet
330,7,3,1,8996,6,9,9,10,13,15,4,5,,Air India
331,3,4,1,6528,21,3,14,20,22,20,8,0,,IndiGo
332,4,2,0,4239,4,9,20,55,23,40,2,45,,GoAir
333,3,3,0,4148,3,12,20,25,23,5,2,40,,IndiGo
334,1,2,0,3971,24,5,21,10,0,5,2,55,,SpiceJet
335,2,3,1,5192,5,6,7,35,23,30,15,55,,Air Asia
336,10,4,2,9483,4,9,13,25,12,35,23,10,,Jet Airways
337,10,4,2,18804,6,3,11,40,19,0,7,20,,Jet Airways
338,7,4,0,5201,18,6,5,10,8,0,2,50,,Air India
339,10,4,1,16079,27,5,11,30,19,0,7,30,,Jet Airways
340,10,2,0,7229,15,6,19,50,22,50,3,0,,Jet Airways
341,8,4,1,6795,27,5,17,45,1,30,7,45,,Multiple carriers
342,10,3,1,10953,5,9,9,35,10,55,25,20,,Jet Airways
343,8,4,2,15965,24,6,15,5,1,30,10,25,,Multiple carriers
344,7,4,2,9968,4,9,12,55,19,15,30,20,,Air India
345,3,3,0,4804,6,6,22,15,0,50,2,35,,IndiGo
346,10,4,1,16079,27,5,10,0,19,0,9,0,,Jet Airways
347,10,4,2,11507,6,12,21,25,12,35,15,10,,Jet Airways
348,7,3,2,11542,6,9,9,25,13,45,28,20,,Air India
349,10,2,0,7229,24,4,17,45,20,45,3,0,,Jet Airways
350,10,2,0,4544,27,4,6,0,8,45,2,45,,Jet Airways
351,3,4,1,6496,15,5,5,10,10,5,4,55,,IndiGo
352,3,3,0,4804,15,6,21,25,0,5,2,40,,IndiGo
353,7,2,1,13439,3,1,11,5,9,15,22,10,,Air India
354,10,4,1,6540,27,3,18,15,4,25,10,10,,Jet Airways
355,3,2,0,4591,6,1,23,30,2,20,2,50,,IndiGo
356,3,2,1,4437,18,3,16,15,20,35,4,20,,IndiGo
357,2,4,1,6151,21,3,20,10,7,10,11,0,,Air Asia
358,10,2,0,7754,21,6,17,45,20,45,3,0,,Jet Airways
359,10,4,1,10262,24,6,14,0,12,35,22,35,,Jet Airways
360,10,2,0,8016,6,9,18,55,22,0,3,5,,Jet Airways
361,1,3,0,4781,24,3,6,55,9,35,2,40,,SpiceJet
362,5,2,0,4668,27,6,11,30,14,20,2,50,,Vistara
363,7,2,1,14594,3,6,11,50,8,55,21,5,,Air India
364,10,3,1,14231,24,3,16,55,4,45,11,50,,Jet Airways
365,7,4,1,8425,15,5,5,15,6,50,25,35,,Air India
366,8,4,1,9646,6,12,7,5,22,30,15,25,,Multiple carriers
367,3,0,0,7295,3,3,14,40,17,5,2,25,,IndiGo
368,2,3,1,5162,4,9,6,50,10,30,3,40,,Air Asia
369,3,2,0,6860,3,9,18,25,21,20,2,55,,IndiGo
370,5,4,0,6216,15,4,6,0,9,10,3,10,,Vistara
371,2,3,1,5192,24,5,7,35,19,25,11,50,,Air Asia
372,3,2,0,4823,4,9,20,0,22,50,2,50,,IndiGo
373,1,2,0,3919,4,3,9,30,12,20,2,50,,SpiceJet
374,3,1,0,2754,6,3,19,5,20,35,1,30,,IndiGo
375,8,4,1,9315,5,9,7,30,19,0,11,30,,Multiple carriers
376,8,4,1,11667,27,3,10,0,18,50,8,50,,Multiple carriers
377,10,3,1,6224,6,12,8,25,4,40,20,15,,Jet Airways
378,7,3,2,13349,24,3,9,25,5,35,20,10,,Air India
379,10,2,1,11087,18,3,16,55,9,0,16,5,,Jet Airways
380,8,4,1,15603,3,6,13,0,1,35,12,35,,Multiple carriers
381,10,4,2,15129,5,9,19,30,12,35,17,5,,Jet Airways
382,3,2,0,4823,4,9,16,55,19,55,3,0,,IndiGo
383,5,3,1,8452,5,1,7,10,22,40,15,30,,Vistara
384,8,4,1,12524,6,6,7,30,19,0,11,30,,Multiple carriers
385,1,0,0,3384,27,3,17,45,20,5,2,20,,SpiceJet
386,10,4,1,10262,6,1,19,15,19,0,23,45,,Jet Airways
387,1,1,0,1965,18,6,13,15,14,45,1,30,,SpiceJet
388,3,3,0,4804,18,5,22,15,0,50,2,35,,IndiGo
389,10,4,1,16079,27,5,18,15,19,0,24,45,,Jet Airways
390,10,4,2,13292,6,1,21,25,19,0,21,35,,Jet Airways
391,2,4,1,6751,5,9,7,55,13,25,5,30,,Air Asia
392,7,4,1,8669,15,5,7,0,19,15,12,15,,Air India
393,3,4,1,14871,3,3,17,30,1,35,8,5,,IndiGo
394,10,4,1,12898,21,5,14,0,19,0,5,0,,Jet Airways
395,1,2,0,3919,6,6,9,30,12,20,2,50,,SpiceJet
396,8,4,1,8372,3,1,12,50,19,15,6,25,,Multiple carriers
397,3,0,0,3597,6,3,19,35,21,55,2,20,,IndiGo
398,7,2,0,10741,3,9,17,0,19,45,2,45,,Air India
399,7,3,2,11432,6,6,16,50,5,35,12,45,,Air India
400,10,2,1,11087,3,12,18,55,10,45,15,50,,Jet Airways
401,10,4,2,13292,6,3,9,35,12,35,27,0,,Jet Airways
402,7,4,3,10493,15,6,5,15,7,40,26,25,,Air India
